question,option_a,option_b,option_c,option_d,correct
"What is the correct file extension for a Python file?",".pyth",".pt",".py",".pyt","C"
"Which keyword is used to define a function in Python?","func","def","function","define","B"
"Which of the following is a valid variable name in Python?","2name","my-name","my_name","my name","C"
"Which data type is used to store True or False values in Python?","int","float","bool","str","C"
"What is the output of print(3 + 2 * 2)?","10","7","8","9","B"
"Which symbol is used for single-line comments in Python?","//","#","/*","%","B"
"Which function is used to get input from the user?","input()","read()","get()","scan()","A"
"What will len([1, 2, 3, 4]) return?","3","4","5","2","B"
"Which of these is a list in Python?","(1, 2, 3)","{1, 2, 3}","[1, 2, 3]","<1, 2, 3>","C"
"What is the output of type(""hello"")?","int","str","list","bool","B"
"Which keyword is used for a conditional statement in Python?","for","while","if","def","C"
"Which loop will repeat while a condition is True?","for","repeat","do","while","D"
"What is the result of 5 // 2?","2.5","3","2","1","C"
"How do you start a for loop that iterates 5 times?","for i in 5:","for i in range(5):","for i = 1 to 5:","loop 5 times:","B"
"Which of these is a tuple in Python?","[1, 2, 3]","(1, 2, 3)","{1, 2, 3}","<1, 2, 3>","B"
"What does the len() function do?","adds numbers","repeats a string","returns the length","converts to int","C"
"What does the break statement do in a loop?","restart loop","exit the loop","skip this line","pause program","B"
"What is the correct way to check if x is equal to 10?","if x = 10:","if x == 10:","if x := 10:","if x equals 10:","B"
"Which of these creates an empty list?","list()","()","{}","[]","A"
"What is the output of print(""Python""[0])?","P","y","n","h","A"